Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4255.38,Ni,1,4.167,0.113
4255.5,Cr,1,3,0.607
4255.5,Fe,1,3.018,0.824
4255.78,Ce,2,0.704,0.226
4255.83,Fe,1,4.584,0.09
4255.99,Ce,2,0.536,0.031
4256.03,Ti,1,2.318,0.411
4256.11,Fe,1,4.313,0.131
4256.15,Ce,2,0.536,0.055
4256.17,Ce,2,0.96,0.027
4256.2,Fe,1,3.417,0.702
4256.23,Nd,2,0.205,0.055
4256.31,Fe,1,2.4327,0.542
4256.33,Dy,2,0.103,0.071
4256.39,Sm,2,0.378,0.295
4256.41,Cr,1,3.85,0.322
4256.42,Fe,1,2.99,0.298
4256.61,Cr,1,3.013,0.037
4256.8,Fe,1,4.2563,0.632
4256.82,Nd,2,0.182,0.064
4257.12,Ce,2,0.459,0.077
4257.35,Cr,1,3.013,0.181
4257.36,V,1,1.86,0.064
4257.53,Fe,1,4.733,0.036
4257.66,Mn,1,2.953,0.741
4257.76,Nd,2,0.559,0.032
4258.04,Zr,2,0.559,0.549
4258.15,Fe,2,2.704,0.736
4258.22,Tb,2,0.641,0.071
4258.32,Fe,1,0.0873,0.923
4258.34,Fe,2,2.642,0.408
4258.36,Mn,1,4.713,0.023
4258.52,Ti,1,2.292,0.3
4258.55,Sm,2,0.434,0.033
4258.61,Fe,1,2.831,0.845
4258.7,Ce,2,0.553,0.036
4258.95,Fe,1,3.018,0.788
4259.05,Fe,1,2.609,0.351
4259.12,Cr,1,3.013,0.115
4259.2,Mn,2,5.398,0.082
4259.31,V,1,0.017,0.106
4259.31,Ni,1,3.542,0.024
4259.33,Mn,1,4.64,0.027
4259.34,Fe,1,2.99,0.42
4259.35,Fe,1,4.22,0.11
4259.61,Nd,2,0.321,0.04
4259.74,Ce,2,0.897,0.023
4259.86,Co,1,3.067,0.029
4259.94,Fe,1,4.435,0.159
4259.95,Fe,1,2.176,0.749
4260,Fe,1,3.3321,0.843
4260.08,Fe,1,3.397,0.556
4260.13,Fe,1,3.0713,0.879
4260.17,Fe,1,3.397,0.809
4260.18,Cr,1,3.857,0.17
4260.43,Si,1,4.93,0.064
4260.47,Mn,2,1.848,0.157
4260.47,Fe,1,2.399,0.966
4260.7,V,2,1.673,0.074
4260.73,Fe,1,2.845,0.817
4260.74,Ti,1,2.297,0.096
4260.76,V,2,1.704,0.114
4260.85,Os,1,0,0.151
4260.98,Fe,1,4.256,0.092
4261.16,Ce,2,1.088,0.028
4261.28,Mn,1,4.713,0.084
4261.29,Fe,1,4.178,0.033
4261.34,Cr,1,2.914,0.595
4261.52,Fe,1,4.473,0.114
4261.59,Ti,1,2.305,0.397
4261.61,Cr,1,3.122,0.357
4261.79,Pr,2,0.422,0.028
4261.84,Nd,2,1.491,0.094
4261.85,Cr,2,3.104,0.112
4261.91,Cr,2,3.864,0.645
4262.09,Gd,2,0.731,0.086
4262.16,V,1,1.853,0.077
4262.23,Nd,2,0.631,0.068
4262.34,Fe,1,4.103,0.737
4262.36,Cr,1,3.079,0.573
4262.56,Fe,1,4.473,0.074
4262.67,Sm,2,0.378,0.153
4263.12,Ce,2,0.709,0.023
4263.13,Ti,1,1.887,0.8
4263.14,Cr,1,3.849,0.704
4263.42,Ce,2,1.042,0.059
4263.43,Nd,2,0.742,0.073
4263.58,La,2,1.956,0.041
4263.78,Pr,2,0.372,0.043
4263.85,V,2,1.686,0.064
4263.92,Nd,2,0.321,0.027
