Wavl[A],Elm,Ion,Elow[eV],BrCalDep,CalBlending[%]
5538.52,Fe,1,4.218,0.3318,1.444
5539.28,Fe,1,3.642,0.1719,5.136
5543.15,Fe,1,3.695,0.5369,1.132
5543.94,Fe,1,4.218,0.5142,1.176
5546.51,Fe,1,4.371,0.3999,0.602
5549.95,Fe,1,3.695,0.0979,4.93
5552.69,Fe,1,4.956,0.0521,1.924
5560.21,Fe,1,4.435,0.4208,0.246
5577.02,Fe,1,5.033,0.0883,3.627
5578.72,Ni,1,1.676,0.4506,2.11
5581.97,Ca,1,2.523,0.6559,2.174
5584.76,Fe,1,3.573,0.3249,6.371
5587.57,Fe,1,4.143,0.2853,6.637
5587.86,Ni,1,1.935,0.5124,1.622
5589.36,Ni,1,3.898,0.3275,4.513
5590.11,Ca,1,2.521,0.6531,0.614
5593.74,Ni,1,3.898,0.4198,2.003
5614.77,Ni,1,4.154,0.368,2.003
5618.63,Fe,1,4.209,0.4407,0.387
5619.6,Fe,1,4.387,0.2521,5.433
5620.03,Fe,1,4.143,0.1071,4.712
5624.02,Fe,1,4.387,0.3299,1.817
5624.54,Fe,1,3.417,0.7238,1.574
5625.32,Ni,1,4.089,0.3983,0.81
5628.34,Ni,1,4.089,0.0559,5.802
5628.64,Cr,1,3.422,0.1474,0.661
5633.95,Fe,1,4.991,0.5172,0.66
5635.82,Fe,1,4.256,0.2239,2.362
5636.7,Fe,1,3.64,0.1841,0.872
5638.26,Fe,1,4.22,0.5875,1.768
5641,Sc,2,1.5,0.301,1.497
5641.43,Fe,1,4.256,0.4893,3.277
5641.88,Ni,1,4.105,0.2048,1.57
5642.36,Cr,1,3.857,0.0463,3.842
5643.08,Ni,1,4.165,0.1829,6.214
5645.61,Si,1,4.93,0.275,1.667
5648.26,Cr,1,3.826,0.0484,2.677
5648.57,Ti,1,2.495,0.1218,0.378
5649.39,Cr,1,3.839,0.0621,0.378
5649.99,Fe,1,5.1,0.2762,0.531
5650.71,Fe,1,5.086,0.2603,1.672
5651.47,Fe,1,4.473,0.1266,1.044
5652.32,Fe,1,4.26,0.1997,0.607
5653.87,Fe,1,4.387,0.2647,0.212
5655.18,Fe,1,5.064,0.371,1.314
5657.9,Sc,2,1.507,0.5132,2.435
5661.34,Fe,1,4.284,0.2244,2.094
5662.15,Ti,1,2.318,0.2328,4.155
5665.55,Si,1,4.92,0.3241,6.662
5666.68,Si,1,5.616,0.1306,2.008
5667.15,Sc,2,1.5,0.2362,0.436
5669.04,Sc,2,1.5,0.2779,3.355
5677.68,Fe,1,4.103,0.108,0.363
5679.02,Fe,1,4.652,0.4344,1.273
5682.2,Ni,1,4.105,0.4617,0.48
5684.2,Sc,2,1.507,0.3243,0.704
5684.48,Si,1,4.954,0.4548,0.519
5686.53,Fe,1,4.549,0.5745,0.082
5689.46,Ti,1,2.297,0.1217,1.156
5690.42,Si,1,4.93,0.3882,2.307
5691.5,Fe,1,4.301,0.3405,3.329
5694.74,Cr,1,3.857,0.1675,2.213
5694.98,Ni,1,4.089,0.4251,0.378
5696.09,Fe,1,4.549,0.1534,1.082
5701.1,Si,1,4.93,0.3093,0.338
5701.54,Fe,1,2.559,0.6366,1.562
5704.73,Fe,1,5.033,0.112,1.562
5705.46,Fe,1,4.301,0.3674,0.459
5708.4,Si,1,4.954,0.5117,0.483
5712.13,Fe,1,3.417,0.4552,0.548
5712.77,Cr,1,3.011,0.1627,3.106
5714.55,Fe,1,5.086,0.0569,3.106
5716.45,Ti,1,2.297,0.0589,2.843
5717.83,Fe,1,4.284,0.4982,0.097
5719.81,Cr,1,3.013,0.0615,2.787
5721.71,Fe,1,4.154,0.0697,2.787
5731.76,Fe,1,4.256,0.4398,0.429
5732.3,Fe,1,4.991,0.1152,2.261
5734.56,Fe,1,4.956,0.097,2.261
5739.47,Ti,1,2.249,0.0832,1.087
5741.85,Fe,1,4.256,0.2617,0.273
5742.96,Fe,1,4.178,0.081,1.019
5747.67,Si,1,5.614,0.2117,1.995
5747.95,Fe,1,4.608,0.2568,2.831
5748.35,Ni,1,1.676,0.2807,1.734
5752.03,Fe,1,4.549,0.3395,0.409
5753.12,Fe,1,4.26,0.5947,0.104
5753.62,Si,1,5.616,0.1479,3.907
5754.66,Ni,1,1.935,0.5232,0.349
5760.83,Ni,1,4.105,0.2624,1.152
5762.41,Fe,1,3.642,0.2983,2.503
5766.36,Ti,1,3.294,0.0624,4.27
5772.15,Si,1,5.082,0.3655,0.559
5775.08,Fe,1,4.22,0.4747,0.094
5778.45,Fe,1,2.588,0.2233,2.282
5781.75,Cr,1,3.323,0.1741,2.849
5783.07,Cr,1,3.323,0.2982,2.849
5783.85,Cr,1,3.322,0.3394,5.63
5784.66,Fe,1,3.397,0.25,2.157
5784.97,Cr,1,3.321,0.2959,1.109
5787.92,Cr,1,3.322,0.4109,1.179
5791.52,Fe,1,4.584,0.1088,2.386
5793.07,Si,1,4.93,0.3075,3.359
5793.91,Fe,1,4.22,0.3012,0.253
5796.08,Ni,1,1.951,0.0572,1.512
5797.86,Si,1,4.954,0.301,1.512
5798.17,Fe,1,3.929,0.3462,4.25
5804.03,Fe,1,3.882,0.2227,9.984
5805.22,Ni,1,4.167,0.3534,1.105
5806.72,Fe,1,4.608,0.401,2.378
5809.22,Fe,1,3.884,0.3804,4.571
5814.81,Fe,1,4.283,0.1849,1.046
5827.88,Fe,1,3.283,0.076,1.958
5831.6,Ni,1,4.167,0.2144,0.962
5835.1,Fe,1,4.256,0.0915,0.49
5837.7,Fe,1,4.294,0.0926,1.531
5838.37,Fe,1,3.943,0.1722,1.874
5846.99,Ni,1,1.676,0.1968,1.853
5849.68,Fe,1,3.695,0.0814,2.775
5851.2,Fe,1,4.956,0.0316,2.775
5852.22,Fe,1,4.549,0.3158,0.907
5855.08,Fe,1,4.608,0.2072,0.587
5856.09,Fe,1,4.294,0.377,0.324
5858.78,Fe,1,4.22,0.1222,6.202
5861.11,Fe,1,4.283,0.0828,3.609
5864.24,Fe,1,4.301,0.051,3.565
5866.45,Ti,1,1.067,0.4049,0.827
5867.56,Ca,1,2.933,0.1981,0.279
5871.3,Fe,1,4.154,0.0515,0.279
5873.21,Fe,1,4.256,0.1437,1.185
5877.79,Fe,1,4.178,0.1431,3.744
5879.49,Fe,1,4.607,0.0759,6.017
5880.03,Fe,1,4.559,0.1205,1.945
5880.27,Ti,1,1.053,0.0547,4.1
5883.82,Fe,1,3.96,0.509,0.301
5899.29,Ti,1,1.053,0.2853,1.864
5902.47,Fe,1,4.593,0.1498,2.507
5903.31,Ti,1,1.067,0.0448,7.072
5905.67,Fe,1,4.652,0.4699,0.59
5916.25,Fe,1,2.453,0.438,0.308
5922.11,Ti,1,1.046,0.1839,1.225
5927.79,Fe,1,4.652,0.3707,3.192
5928.85,V,2,2.522,0.0512,4.482
5929.68,Fe,1,4.549,0.2885,1.252
5930.18,Fe,1,4.652,0.5835,0.077
5934.65,Fe,1,3.929,0.5634,0.346
5937.81,Ti,1,1.067,0.0616,6.661
5940.99,Fe,1,4.178,0.1595,0.116
5943.58,Fe,1,2.198,0.1188,0.116
5948.54,Si,1,5.082,0.5312,0.494
5952.72,Fe,1,3.984,0.4773,0.24
5953.16,Ti,1,1.887,0.2805,0.32
5956.69,Fe,1,0.859,0.4446,0.237
5976.78,Fe,1,3.943,0.5145,0.158
5978.54,Ti,1,1.873,0.2251,1.358
5984.81,Fe,1,4.733,0.5724,0.175
5987.06,Fe,1,4.796,0.5006,0.506
5991.37,Fe,2,3.153,0.2442,1.454
5996.73,Ni,1,4.236,0.1698,3.495
6003.01,Fe,1,3.882,0.5638,0.176
6007.31,Ni,1,1.676,0.2187,1.436
6007.96,Fe,1,4.652,0.4942,0.307
6008.56,Fe,1,3.884,0.5896,0.3
6025.75,Ni,1,4.236,0.0691,8.053
6027.05,Fe,1,4.076,0.5171,0.297
6034.03,Fe,1,4.313,0.0759,2.079
6035.34,Fe,1,4.294,0.0667,1.783
6053.69,Ni,1,4.236,0.1363,1.783
6056,Fe,1,4.733,0.5401,0.675
6057.25,Fe,1,4.991,0.1478,0.675
6064.63,Ti,1,1.046,0.0711,6.15
6078.49,Fe,1,4.796,0.5244,0.281
6079.01,Fe,1,4.652,0.353,0.533
6081.44,V,1,1.051,0.1553,0.631
6082.71,Fe,1,2.223,0.2987,0.335
6084.1,Fe,2,3.199,0.1592,0.465
6086.28,Ni,1,4.266,0.3703,0.459
6091.17,Ti,1,2.267,0.1415,1.725
6091.92,Si,1,5.871,0.1445,1.095
6093.64,Fe,1,4.608,0.2308,0.406
6094.37,Fe,1,4.652,0.1,2.433
6096.66,Fe,1,3.984,0.3055,5.236
6098.24,Fe,1,4.559,0.1144,1.821
6098.66,Ti,1,3.062,0.0543,1.715
6102.17,Fe,1,4.835,0.4642,1.455
6108.12,Ni,1,1.676,0.5131,2.045
6111.07,Ni,1,4.088,0.269,0.752
6116.18,Ni,1,4.089,0.4137,0.752
6125.02,Si,1,5.614,0.2322,1.182
6126.22,Ti,1,1.067,0.1809,1.375
6127.91,Fe,1,4.143,0.3963,0.671
6130.13,Ni,1,4.266,0.2499,0.451
6131.57,Si,1,5.616,0.2048,2.995
6131.85,Si,1,5.616,0.1838,3.135
6133.96,Ni,1,4.088,0.0407,8.06
6135.36,V,1,1.051,0.1144,3.881
6136.99,Fe,1,2.198,0.5292,1.492
6142.48,Si,1,5.619,0.2926,2.526
6145.02,Si,1,5.616,0.2845,0.464
6149.25,Fe,2,3.889,0.2732,0.856
6151.62,Fe,1,2.176,0.4245,0.252
6154.23,Na,1,2.102,0.2164,1.312
6155.13,Si,1,5.619,0.4717,0.066
6157.73,Fe,1,4.076,0.4918,0.701
6160.75,Na,1,2.104,0.3303,1.29
6161.3,Ca,1,2.523,0.4537,1.382
6165.36,Fe,1,4.143,0.3687,0.617
6166.44,Ca,1,2.521,0.4918,0.132
6169.04,Ca,1,2.523,0.5773,0.65
6170.51,Fe,1,4.796,0.4954,5.327
6173.33,Fe,1,2.223,0.5392,0.261
6175.37,Ni,1,4.089,0.4343,0.35
6176.81,Ni,1,4.088,0.4732,0.155
6177.24,Ni,1,1.826,0.1547,4.339
6180.2,Fe,1,2.728,0.4721,0.689
6186.71,Ni,1,4.105,0.2548,0.966
6187.4,Fe,1,2.832,0.0335,3.083
