#lambda(nm,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness
494.6824 | 20214.990 | Ni I  | 30619.414 - 50834.401 | 3d9.(2D).4p 3F*                     | 2    | 3d9.(2D[3/2]).4d 2[5/2]             | 2    | 0.413 | 3
494.7017 | 20214.201 | Fe I  | 33946.933 - 54161.139 | 3d6.(5D).4s.4p.(3P*) z 3P*          | 2    | 3d7.(4F).4d f 5G                    | 3    | 0.378 | 3
494.7411 | 20212.590 | Ni I  | 30619.414 - 50832.001 | 3d9.(2D).4p 3F*                     | 2    | 3d9.(2D[3/2]).4d 2[5/2]             | 3    | 0.231 | 2
494.8988 | 20206.151 | Si I  | 40991.884 - 61198.036 | 3s2.3p.4s 1P*                       | 1    | 3s2.3p.(2P*[3/2]).6p[3/2] (3/2,3/2) | 0    | 0.169 | 1
495.1487 | 20195.952 | Fe I  | 27559.583 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5F*          | 2    | 3d7.(4F).5s e 5F                    | 3    | 0.595 | 1
495.3667 | 20187.065 | Ni I  | 29084.456 - 49271.540 | 3d8.(3F).4s.4p.(3P) 5F4             | 4    | 3d9.(2D[5/2]).4d [5/2]3             | 3    | 0.292 | 3
495.6188 | 20176.796 | Cr I  | 25177.354 - 45354.150 | 3d4.4s2 a 3F                        | 4    | 3d5.(4G).4p z 3H*                   | 5    | 0.430 | 4
496.3956 | 20145.222 | Fe I  | 33695.397 - 53840.620 | 3d7.(4F).4p y 5F*                   | 5    | 3d7.(4F).4d e 3H                    | 6    | 0.471 | 0
496.6313 | 20135.664 | Cr I  |  7593.148 - 27728.811 | 3d5.(6S).4s a 5S                    | 2    | 3d4.(5D).4s.4p.(3P*) y 7P*          | 2    | 0.377 | 2
496.6553 | 20134.689 | Ni I  | 30619.414 - 50754.103 | 3d9.(2D).4P 3FS                     | 2    | 3d9.(2D[3/2]).4d [3/2]2             | 2    | 0.238 | 2
497.1304 | 20115.446 | Fe I  | 34017.103 - 54132.551 | 3d7.(4F).4p y 5D*                   | 1    | 3d7.(4F).4d h 5D                    | 1    | 0.599 | 2
