#lambda(Å,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness

4500.398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2 
4506.094 | 22192.169 | Fe I  | 26339.696 - 48531.865 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 2    | 3d7.(4F).5s e 3F                    | 3    | 0.442 | 4 

4500.398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2 
4510.999 | 22168.039 | Fe I  | 34039.516 - 56207.552 | 3d7.(4F).4p y 5F*                   | 4    | 3d6.4s.(6D).5d 5D                   | 4    | 0.416 | 0 

4503.480 | 22205.050 | Mn I  | 23549.200 - 45754.270 | 3d6.(5D).4s a 4D                    | 5/2  | 3d6.(5D).4p z 4D*                   | 7/2  | 0.557 | 1 
4506.094 | 22192.169 | Fe I  | 26339.696 - 48531.865 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 2    | 3d7.(4F).5s e 3F                    | 3    | 0.442 | 4 

4503.480 | 22205.050 | Mn I  | 23549.200 - 45754.270 | 3d6.(5D).4s a 4D                    | 5/2  | 3d6.(5D).4p z 4D*                   | 7/2  | 0.557 | 1 
4510.999 | 22168.039 | Fe I  | 34039.516 - 56207.552 | 3d7.(4F).4p y 5F*                   | 4    | 3d6.4s.(6D).5d 5D                   | 4    | 0.416 | 0 

4503.854 | 22203.206 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3 
4506.094 | 22192.169 | Fe I  | 26339.696 - 48531.865 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 2    | 3d7.(4F).5s e 3F                    | 3    | 0.442 | 4 

4503.854 | 22203.206 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3 
4509.949 | 22173.200 | Fe I  | 34547.211 - 56720.409 | 3d7.(4F).4p y 5F*                   | 2    | 3d6.4s.(6D).5d s.(6D).5d.(5S)       | 2    | 0.161 | 1 

4503.854 | 22203.206 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3 
4510.999 | 22168.039 | Fe I  | 34039.516 - 56207.552 | 3d7.(4F).4p y 5F*                   | 4    | 3d6.4s.(6D).5d 5D                   | 4    | 0.416 | 0 

4503.854 | 22203.206 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3 
4514.255 | 22152.049 | Ni I  | 29888.477 - 52040.523 | 3d9.(2D).4p 3D*                     | 2    | 3d8.4s.(4F).5s 3F                   | 2    | 0.213 | 1 

4506.094 | 22192.169 | Fe I  | 26339.696 - 48531.865 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 2    | 3d7.(4F).5s e 3F                    | 3    | 0.442 | 4 
4510.999 | 22168.039 | Fe I  | 34039.516 - 56207.552 | 3d7.(4F).4p y 5F*                   | 4    | 3d6.4s.(6D).5d 5D                   | 4    | 0.416 | 0 

4509.949 | 22173.200 | Fe I  | 34547.211 - 56720.409 | 3d7.(4F).4p y 5F*                   | 2    | 3d6.4s.(6D).5d s.(6D).5d.(5S)       | 2    | 0.161 | 1 
4514.255 | 22152.049 | Ni I  | 29888.477 - 52040.523 | 3d9.(2D).4p 3D*                     | 2    | 3d8.4s.(4F).5s 3F                   | 2    | 0.213 | 1 

4510.999 | 22168.039 | Fe I  | 34039.516 - 56207.552 | 3d7.(4F).4p y 5F*                   | 4    | 3d6.4s.(6D).5d 5D                   | 4    | 0.416 | 0 
4521.249 | 22117.782 | Ni I  | 13521.347 - 35639.122 | 3d8.(1D).4s2 1D                     | 2    | 3d8.(3F).4s.4p.(3P*) 1F*            | 3    | 0.378 | 2 

4514.255 | 22152.049 | Ni I  | 29888.477 - 52040.523 | 3d9.(2D).4p 3D*                     | 2    | 3d8.4s.(4F).5s 3F                   | 2    | 0.213 | 1 
4521.249 | 22117.782 | Ni I  | 13521.347 - 35639.122 | 3d8.(1D).4s2 1D                     | 2    | 3d8.(3F).4s.4p.(3P*) 1F*            | 3    | 0.378 | 2 

4552.923 | 21963.912 | Fe I  | 31805.071 - 53768.979 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 3    | 3d7.(4F).4d f 5G                    | 4    | 0.283 | 2 
4553.422 | 21961.505 | Fe I  | 35257.324 - 57218.827 | 3d7.(4F).4p z 5G*                   | 4    | 3d7.(4F).6s 4F.6s.3F                | 3    | 0.217 | 4 

4552.923 | 21963.912 | Fe I  | 31805.071 - 53768.979 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 3    | 3d7.(4F).4d f 5G                    | 4    | 0.283 | 2 
4554.443 | 21956.582 | Ni I  | 29500.674 - 51457.250 | 3d9.(2D).4p 3P*                     | 1    | 3d9.(2D[3/2]).4d 2[1/2]             | 0    | 0.154 | 3 

4553.422 | 21961.505 | Fe I  | 35257.324 - 57218.827 | 3d7.(4F).4p z 5G*                   | 4    | 3d7.(4F).6s 4F.6s.3F                | 3    | 0.217 | 4 
4554.443 | 21956.582 | Ni I  | 29500.674 - 51457.250 | 3d9.(2D).4p 3P*                     | 1    | 3d9.(2D[3/2]).4d 2[1/2]             | 0    | 0.154 | 3 

4569.604 | 21883.734 | Ti II |  9872.899 - 31756.641 | 3d2.(3P).4s b 4P                    | 1/2  | 3d2.(3F).4p z 2D*                   | 3/2  | 0.299 | 1 
4569.882 | 21882.403 | Fe I  | 31686.351 - 53568.751 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 2    | 3d7.(4F).4d f 5P                    | 2    | 0.153 | 4 

4569.604 | 21883.734 | Ti II |  9872.899 - 31756.641 | 3d2.(3P).4s b 4P                    | 1/2  | 3d2.(3F).4p z 2D*                   | 3/2  | 0.299 | 1 
4575.498 | 21855.544 | Fe I  | 25899.989 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d7.(4F).5s e 5F                    | 3    | 0.406 | 0 

4575.498 | 21855.544 | Fe I  | 25899.989 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d7.(4F).5s e 5F                    | 3    | 0.406 | 0 
4576.000 | 21853.147 | Fe I  | 18378.186 - 40231.336 | 3d6.4s2 a 3P2                       | 2    | 3d6.(5D).4s.4p.(1P*) x 5D*          | 2    | 0.581 | 2 

4575.498 | 21855.544 | Fe I  | 25899.989 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d7.(4F).5s e 5F                    | 3    | 0.406 | 0 
4577.610 | 21845.461 | Fe II | 22939.351 - 44784.786 | 3d6.(3F2).4s b 4F                   | 5/2  | 3d6.(5D).4p z 4D*                   | 5/2  | 0.584 | 2 

4575.498 | 21855.544 | Fe I  | 25899.989 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d7.(4F).5s e 5F                    | 3    | 0.406 | 0 
4584.693 | 21811.711 | Ti II |  9395.802 - 31207.511 | 3d3 a 4P                            | 3/2  | 3d2.(3F).4p z 2F*                   | 5/2  | 0.327 | 2 

4575.498 | 21855.544 | Fe I  | 25899.989 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d7.(4F).5s e 5F                    | 3    | 0.406 | 0 
4587.651 | 21797.648 | V I   |   323.432 - 22121.079 | 3d3.4s2 a 4F                        | 7/2  | 3d3.(4F).4s.4p.(3P*) z 4G*          | 9/2  | 0.420 | 4 

4576.000 | 21853.147 | Fe I  | 18378.186 - 40231.336 | 3d6.4s2 a 3P2                       | 2    | 3d6.(5D).4s.4p.(1P*) x 5D*          | 2    | 0.581 | 2 
4577.610 | 21845.461 | Fe II | 22939.351 - 44784.786 | 3d6.(3F2).4s b 4F                   | 5/2  | 3d6.(5D).4p z 4D*                   | 5/2  | 0.584 | 2 

4576.000 | 21853.147 | Fe I  | 18378.186 - 40231.336 | 3d6.4s2 a 3P2                       | 2    | 3d6.(5D).4s.4p.(1P*) x 5D*          | 2    | 0.581 | 2 
4579.830 | 21834.872 | Ca I  | 20335.360 - 42170.214 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.4f 3F*                       | 2    | 0.686 | 3 

4576.000 | 21853.147 | Fe I  | 18378.186 - 40231.336 | 3d6.4s2 a 3P2                       | 2    | 3d6.(5D).4s.4p.(1P*) x 5D*          | 2    | 0.581 | 2 
4587.651 | 21797.648 | V I   |   323.432 - 22121.079 | 3d3.4s2 a 4F                        | 7/2  | 3d3.(4F).4s.4p.(3P*) z 4G*          | 9/2  | 0.420 | 4 

4577.610 | 21845.461 | Fe II | 22939.351 - 44784.786 | 3d6.(3F2).4s b 4F                   | 5/2  | 3d6.(5D).4p z 4D*                   | 5/2  | 0.584 | 2 
4579.830 | 21834.872 | Ca I  | 20335.360 - 42170.214 | 3p6.3d.4s 3D                        | 1    | 3p6.4s.4f 3F*                       | 2    | 0.686 | 3 

4577.610 | 21845.461 | Fe II | 22939.351 - 44784.786 | 3d6.(3F2).4s b 4F                   | 5/2  | 3d6.(5D).4p z 4D*                   | 5/2  | 0.584 | 2 
4587.651 | 21797.648 | V I   |   323.432 - 22121.079 | 3d3.4s2 a 4F                        | 7/2  | 3d3.(4F).4s.4p.(3P*) z 4G*          | 9/2  | 0.420 | 4 

4577.610 | 21845.461 | Fe II | 22939.351 - 44784.786 | 3d6.(3F2).4s b 4F                   | 5/2  | 3d6.(5D).4p z 4D*                   | 5/2  | 0.584 | 2 
4588.413 | 21794.028 | Fe I  | 28819.954 - 50613.983 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3F2).4s.4p.(3P*) x 1G*         | 4    | 0.517 | 3 

4577.610 | 21845.461 | Fe II | 22939.351 - 44784.786 | 3d6.(3F2).4s b 4F                   | 5/2  | 3d6.(5D).4p z 4D*                   | 5/2  | 0.584 | 2 
