Wavl[vac;nm],Elm,Ion,Elow[eV],UnBrCalDep,MeasNormDepth,GaussVelOffset[m/s]
462.2324,Cr,1,2.544,0.0780,0.0454,-395.0
462.4875,Fe,1,4.415,0.3100,0.1523,-388.7
462.5705,V,1,1.051,0.0810,0.0511,702.2
462.9756,Cr,1,3.144,0.1360,0.0726,-469.8
463.0376,Zr,2,2.49,0.0590,0.0343,-1279.6
463.2077,Fe,1,3.943,0.1180,0.0407,-483.3
463.4558,Cr,1,3.125,0.1920,0.1081,-868.6
463.7148,Fe,1,2.8451,0.7770,0.5361,-560.4
463.8799,Fe,1,3.283,0.8200,0.6859,-41.4
463.9839,Fe,1,4.607,0.1090,0.1023,-1322.9
464.0009,Nd,2,0.471,0.0510,0.0309,-996.5
464.329,Cr,1,3.85,0.1470,0.0631,-89.1
464.353,C,1,7.946,0.1440,0.0931,430.9
464.449,Fe,1,1.485,0.1590,0.0843,11.9
464.5811,Fe,1,4.607,0.0500,0.1086,-147.5
464.9622,Cr,1,3.0,0.0370,0.0326,695.4
465.1122,Fe,1,3.237,0.4780,0.1891,-860.9
465.1312,Ti,1,1.739,0.4720,0.1680,-251.9
465.1622,Fe,1,4.32,0.2870,0.1460,-1085.2
465.2582,Cr,1,0.983,0.8440,0.6893,38.8
465.3463,Cr,1,1.004,0.8770,0.7694,-231.9
465.7344,Ti,1,1.749,0.3310,0.1076,-141.1
465.7494,Cr,1,3.087,0.4300,0.2267,-656.6
465.8284,Fe,2,2.891,0.5940,0.3308,-622.7
465.9594,Fe,1,3.267,0.2720,0.1756,84.6
465.9944,Fe,1,4.103,0.0290,0.0381,1434.3
466.1735,Fe,1,4.435,0.3790,0.2079,-706.4
466.2625,Fe,1,2.831,0.0790,0.0482,-317.8
466.2835,Fe,1,4.5585,0.6060,0.3598,-104.4
466.3805,La,2,0.0,0.1780,0.0748,-81.2
466.6856,Fe,1,4.076,0.0850,0.0753,-33.6
466.8287,Ni,1,3.796,0.5870,0.2873,-289.0
467.7639,Cr,1,3.556,0.0440,0.0730,83.3
468.016,Fe,1,3.6025,0.8580,0.7345,-522.1
468.16,Fe,1,1.608,0.7490,0.4653,-77.7
468.278,Fe,1,4.607,0.4800,0.2900,-641.7
468.322,Ti,1,0.048,0.8430,0.6813,-322.6
468.3421,Fe,1,4.559,0.5370,0.4331,-313.3
468.3871,Fe,1,2.94,0.3910,0.2462,-563.8
468.4871,Fe,1,2.8316,0.7560,0.5165,-395.0
468.9492,Fe,1,4.607,0.3790,0.4150,-750.8
470.5116,Ni,1,3.658,0.7130,0.5118,80.9
470.5476,Co,1,3.713,0.1180,0.0390,852.8
470.7237,Ni,1,3.658,0.4470,0.1129,-551.5
471.92,Ce,2,0.701,0.0320,0.0928,-551.4
472.4661,Cr,2,4.168,0.0550,0.0744,155.5
473.7165,Fe,1,4.0759,0.7460,0.5520,-126.9
473.7365,Fe,1,4.415,0.1010,0.0807,-1063.9
473.7825,Ni,1,3.48,0.1390,0.0891,436.9
473.8095,Fe,1,3.2112,0.8810,0.7883,152.0
474.2856,Fe,1,2.8316,0.8160,0.6386,-320.8
474.3246,Sr,1,1.775,0.0250,0.0171,838.5
474.3877,Fe,1,4.371,0.1890,0.0817,-273.6
474.5157,Sc,1,1.448,0.1330,0.0839,-1197.3
474.5967,Fe,1,0.99,0.1660,0.0415,-350.1
474.7437,Co,1,3.93,0.0620,0.0310,751.2
474.8998,Ti,1,2.249,0.1290,0.0553,-29.6
475.0058,La,2,0.927,0.1110,0.0465,-193.0
475.3149,Na,1,2.104,0.2010,0.1164,-146.6
475.4489,Sc,1,0.0,0.0530,0.0281,-911.2
475.686,Ce,2,0.721,0.0280,0.0193,-523.5
475.744,Cr,1,3.104,0.7400,0.5715,-242.2
475.805,Co,1,3.93,0.0340,0.0605,-620.7
475.9451,Ti,1,2.2492,0.6750,0.4200,-433.7
475.9741,Ni,1,3.847,0.0840,0.0367,-194.4
476.0601,Ti,1,2.2557,0.7000,0.4469,-336.5
476.1241,Cr,1,3.113,0.1250,0.0492,1064.4
476.1401,Fe,1,3.039,0.1500,0.0868,-979.9
476.2842,Mn,1,2.953,0.7870,0.6048,473.2
476.3432,Co,1,3.952,0.0330,0.0280,-432.4
476.4112,Ti,2,1.084,0.6280,0.3172,-534.6
476.4952,Nd,2,0.38,0.0420,0.0212,183.9
